날짜,요일,시간대,메뉴,카테고리,온도,가격,계절,날씨,특별한날
2024-06-06,목,밤(20-22시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-01-13,토,오후(14-17시),아메리카노,커피,HOT,4500,겨울,맑음,-
2024-02-26,월,점심(11-14시),아메리카노,커피,ICED,4500,겨울,흐림,-
2024-12-28,토,점심(11-14시),크로와상,디저트,-,3800,겨울,맑음,-
2024-11-22,금,점심(11-14시),아메리카노,커피,ICED,4500,가을,흐림,-
2024-11-11,월,점심(11-14시),카푸치노,커피,ICED,5000,가을,비,-
2024-12-14,토,오후(14-17시),아메리카노,커피,HOT,4500,겨울,맑음,-
2024-11-23,토,오후(14-17시),카라멜마끼아또,커피,HOT,5800,가을,맑음,-
2024-06-15,토,아침(09-11시),카푸치노,커피,HOT,5500,여름,맑음,-
2024-01-25,목,오후(14-17시),바닐라라떼,커피,HOT,5500,겨울,눈,-
2024-10-03,목,오후(14-17시),카푸치노,커피,ICED,5500,가을,맑음,-
2024-03-15,금,점심(11-14시),카페라떼,커피,HOT,5000,봄,흐림,-
2024-01-29,월,점심(11-14시),카페라떼,커피,HOT,5000,겨울,비,-
2024-01-17,수,점심(11-14시),캐모마일,차,HOT,4500,겨울,비,-
2024-05-10,금,오후(14-17시),카페라떼,커피,ICED,5000,봄,맑음,-
2024-01-04,목,저녁(17-20시),바닐라라떼,커피,HOT,5500,겨울,눈,-
2024-02-05,월,점심(11-14시),카푸치노,커피,ICED,5500,겨울,맑음,-
2024-11-28,목,아침(09-11시),카페라떼,커피,HOT,5000,가을,비,-
2024-03-09,토,점심(11-14시),카페라떼,커피,HOT,5500,봄,맑음,-
2024-04-24,수,아침(09-11시),카페라떼,커피,HOT,5500,봄,흐림,-
2024-04-21,일,아침(09-11시),아메리카노,커피,HOT,5000,봄,맑음,-
2024-01-26,금,밤(20-22시),초콜릿라떼,논커피,HOT,5800,겨울,맑음,-
2024-08-01,목,점심(11-14시),카라멜마끼아또,커피,ICED,5800,여름,맑음,-
2024-12-21,토,점심(11-14시),바닐라라떼,커피,HOT,5500,겨울,맑음,-
2024-07-27,토,아침(09-11시),카푸치노,커피,HOT,5000,여름,맑음,-
2024-02-29,목,저녁(17-20시),녹차라떼,논커피,HOT,5500,겨울,눈,-
2024-11-26,화,아침(09-11시),녹차라떼,논커피,HOT,5500,가을,흐림,-
2024-09-01,일,점심(11-14시),카페라떼,커피,ICED,5000,가을,흐림,-
2024-04-08,월,오후(14-17시),마카롱,디저트,-,3500,봄,흐림,-
2024-03-25,월,점심(11-14시),마카롱,디저트,-,3500,봄,맑음,-
2024-03-10,일,아침(09-11시),바닐라라떼,커피,ICED,5500,봄,맑음,-
2024-11-23,토,점심(11-14시),바닐라라떼,커피,ICED,6000,가을,맑음,-
2024-04-09,화,밤(20-22시),녹차라떼,논커피,HOT,5500,봄,맑음,-
2024-04-18,목,점심(11-14시),크로와상,디저트,-,3800,봄,맑음,-
2024-02-29,목,오후(14-17시),카페라떼,커피,HOT,5000,겨울,눈,-
2024-02-17,토,점심(11-14시),카페라떼,커피,HOT,5500,겨울,흐림,-
2024-06-04,화,점심(11-14시),딸기스무디,논커피,ICED,6500,여름,맑음,-
2024-06-10,월,오후(14-17시),카페라떼,커피,ICED,5000,여름,비,-
2024-11-05,화,아침(09-11시),바닐라라떼,커피,ICED,5500,가을,맑음,-
2024-05-24,금,점심(11-14시),카페라떼,커피,ICED,5000,봄,맑음,-
2024-08-20,화,점심(11-14시),망고스무디,논커피,ICED,6500,여름,흐림,-
2024-04-08,월,점심(11-14시),망고스무디,논커피,ICED,6500,봄,흐림,-
2024-02-29,목,점심(11-14시),녹차라떼,논커피,HOT,6500,겨울,눈,-
2024-06-30,일,오후(14-17시),카페라떼,커피,ICED,5000,여름,흐림,-
2024-04-08,월,점심(11-14시),아메리카노,커피,HOT,5500,봄,흐림,-
2024-10-12,토,오후(14-17시),초콜릿라떼,논커피,HOT,6300,가을,흐림,-
2024-10-02,수,점심(11-14시),카푸치노,커피,HOT,6000,가을,비,-
2024-10-05,토,점심(11-14시),아메리카노,커피,HOT,4500,가을,흐림,-
2024-10-04,금,오후(14-17시),딸기스무디,논커피,ICED,6500,가을,흐림,-
2024-03-16,토,점심(11-14시),티라미수,디저트,-,6800,봄,비,-
2024-11-07,목,아침(09-11시),아메리카노,커피,HOT,4500,가을,비,-
2024-11-30,토,저녁(17-20시),바닐라라떼,커피,ICED,5500,가을,흐림,-
2024-04-08,월,아침(09-11시),초콜릿라떼,논커피,HOT,5800,봄,흐림,-
2024-07-09,화,저녁(17-20시),카페라떼,커피,ICED,5500,여름,맑음,-
2024-10-14,월,점심(11-14시),티라미수,디저트,-,6800,가을,맑음,-
2024-01-28,일,오후(14-17시),카페라떼,커피,HOT,5000,겨울,눈,-
2024-07-02,화,점심(11-14시),아메리카노,커피,ICED,4500,여름,맑음,-
2024-03-10,일,점심(11-14시),아메리카노,커피,ICED,5500,봄,맑음,-
2024-08-09,금,점심(11-14시),마카롱,디저트,-,3500,여름,맑음,-
2024-07-14,일,저녁(17-20시),카페라떼,커피,ICED,5000,여름,맑음,-
2024-11-27,수,아침(09-11시),딸기스무디,논커피,ICED,7500,가을,맑음,-
2024-10-26,토,점심(11-14시),치즈케이크,디저트,-,6500,가을,맑음,-
2024-02-28,수,점심(11-14시),카페라떼,커피,HOT,5500,겨울,맑음,-
2024-07-23,화,아침(09-11시),딸기스무디,논커피,ICED,6500,여름,흐림,-
2024-08-12,월,오후(14-17시),마카롱,디저트,-,4000,여름,흐림,-
2024-06-08,토,밤(20-22시),카페라떼,커피,ICED,5000,여름,맑음,-
2024-08-03,토,오후(14-17시),카페라떼,커피,HOT,5000,여름,흐림,-
2024-06-19,수,아침(09-11시),카라멜마끼아또,커피,ICED,5800,여름,맑음,-
2024-05-19,일,저녁(17-20시),아메리카노,커피,HOT,4500,봄,맑음,-
2024-11-02,토,점심(11-14시),바닐라라떼,커피,ICED,5500,가을,맑음,-
2024-02-15,목,오후(14-17시),카라멜마끼아또,커피,HOT,5800,겨울,맑음,-
2024-03-14,목,오후(14-17시),치즈케이크,디저트,-,6500,봄,맑음,화이트데이
2024-04-29,월,오후(14-17시),아메리카노,커피,ICED,4500,봄,맑음,-
2024-01-21,일,점심(11-14시),바닐라라떼,커피,HOT,5500,겨울,눈,-
2024-09-17,화,점심(11-14시),녹차라떼,논커피,HOT,5500,가을,맑음,-
2024-02-20,화,저녁(17-20시),카푸치노,커피,HOT,5000,겨울,비,-
2024-03-15,금,밤(20-22시),아메리카노,커피,ICED,4500,봄,흐림,-
2024-12-08,일,오후(14-17시),카푸치노,커피,HOT,5000,겨울,맑음,-
2024-08-15,목,점심(11-14시),망고스무디,논커피,ICED,7500,여름,비,-
2024-12-20,금,저녁(17-20시),아메리카노,커피,HOT,4500,겨울,맑음,-
2024-08-04,일,점심(11-14시),치즈케이크,디저트,-,7000,여름,맑음,-
